,food,description
37980,치킨꼬르동블루,닭가슴살 체다슬라이스치즈 슬라이스햄 밀가루 달걀 빵가루 식용유 소금 후추 마요네즈 머스타드소스 다진피클 설탕 레몬즙
37981,소고기양배추미음,초기 쌀가루 소고기 물
37982,소고기당근미음,초기 쌀가루 소고기 물
37983,키위플레이팅,키위 예쁜픽
37984,신김치고추장제육볶음,돼지고기 삼겹살 신김치 대파 양파 큰것
37985,양배추어묵잡채,양배추 사각어묵 당근 양파 오이고추 식용유
37986,로즈애플쿠키,사과 과일쨈 빈츠쿠키 크림 조금 레몬즙
37987,컵요거트,예쁜 와인컵 과일요거트 크림 쿠키 딸기 포도
37988,소고기국수,소고기 간장 양파 대파 붉은고추 청양초 설탕 마늘 맛술 물 후추 약간 국수 계란 당근 호박 육수 쇠고기볶음 간장 김가루 깨소금 약간
37989,시금치토마토프리타타,시금치 토마토 계란 소금 약간 후춧가루 약간 올리브유
37990,요거트드레싱샐러드,양상추 토마토 오이고추 포도 스트링치즈 레몬즙 플레인요거트 검은깨
37991,닭가슴살토마토계란볶음,닭가슴살 토마토 계란 후춧가루 약간 레몬즙 파슬리가루 약간 올리브유
37992,소고기야채유부초밥,유부초밥 소고기다짐육 양파 당근 감자 부추 약간 소금 후추 약간 밥
37993,셀러리볶음,셀러리 청양고추
37994,대파된장찌개,대파 두부 멸치다시마
37995,가지찹쌀가루튀김무침,가지 큰거 찹쌀가루 카놀라유 쪽파 양파
37996,톡톡채소,생고등어 무우 갓김치 고춧가루 맛술 매실 마늘 생강톡톡 물
37997,마늘닭고기볶음밥,후라이드치킨 남은거 통마늘 카놀라유 넉넉히
37998,배추스프,배추 버터 물 액젓
37999,달걀스프덮밥,다진 돼지고기 다진 대파 다진마늘 간장 두반장 맛술 굴소스 후추 약간 소금 약간 식용유 약간 달걀 치킨육수 전분 물
38000,베이컨양배추전,양배추 베이컨 부침가루 계란 소금 후추 설탕 간장 식초 물 후추 다진마늘 파 청양고추
38001,삶은고사리조기찜,삶은고사리 조기 썰뜨물 대파
38002,차돌순두부,차돌박이 순두부 양파 양배추 애호박 양송이버섯 미나리 조금 계란
38003,당근달걀찜,당근 조금 계란 랲
38004,건새우꽈리고추고추장볶음,꽈리고추 건새우
38005,간장두부강정,두부 견과류
38006,유니짜장칼국수,칼국수면 춘장 양파 양배추 설탕 식물성기름 마늘 생강 다진돼지고기 다진소고기 닭육수
38007,시금치크림리조또,시금치 버터 양파 다진마늘 닭가슴살 덩어리 생크림 우유 약간 베이컨 적당량 슬라이스치즈
38008,랍스터맑은된장국,무 랍스터 찜 적당량 애호박 가래떡 두부
38009,리코타치즈케이크,비스킷 녹인버터 크림치즈 리코타치즈 설탕 계란 레몬즙 바닐라익스트랙 옥수수전분 소금 오렌지필 적당량 피스타치오 적당량
38010,소불고기떡볶이,대파 적당량
38011,간장통닭,영계 허브솔트 조금 양파 마늘
38012,통마늘어묵볶음,어묵 통마늘 원하는만큽 진간장 매실액기스 식용유 물엿 후추 두번 톡톡 청양고추
38013,김치국물만두국,대파 양파 무 다시마 건어물 육수 김칫국물 감자 버섯 쑥갓
38014,삭힌고추김밥,김 밥 당근 시금치 햄 맛살 오뎅 삭힌고추
38015,연어치즈스프레드,훈제 연어 크림치즈 호두 딜 약간 케이퍼 꿀 후추 약간 소금 약간 레몬즙 크래커 적당량 베이글
38016,명태회국수,냉동명태 설탕 굵은소금 식초 고추가루 고운고추가루 설탕 진간장 참기름 물엿 간마늘 고추장 생강가루 시판 동치미육수 고운고추가루 설탕 양조식초 간마늘 물엿 오렌지쥬스 고추장 통깨 연겨자
38017,오징어두부치기,두부 오징어 양파 대파 당면 당근 호박 참기름 식용유
38018,잔멸치된장찌개,감자 애호박 양파 두부 양송이버섯 다진마늘 썬파 고춧가루 된장 잔멸치 쌀뜨물
38019,햄맛살쪽파꼬치,김밥햄 맛살 쪽파 밀가루 계란 카놀라유 소금
38020,생크림샌드위치,식빵 식초 약간
38021,샐러드롤,여러가지 섞음 샐러드 깻잎 새우 좋아하는 시판 샐러드 드레싱 라이스페퍼
38022,소고기꽈리고추볶음,꽈리고추 소고기 간마늘 후추 깨 설탕 간장 맛술 식용유
38023,말차크랜베리사브레쿠키,재료 약 실온 무염버터 슈가 파우더 실온 달걀 노른자 말차 리큐르 또는 바닐라 익스트랙 소금 박력분 아몬드 가루 말차 가루 건 크랜베리
38024,딸기젤리,곤약가루 물 설탕 딸기 아이스트레이 지름 꼬지
38025,닭갈비철판볶음밥,닭다리살 흰밥 샘표 치밥치떡 양념 달걀 조랭이떡 많이 통마늘 여러개 슬라이스 체다치즈 조미김 카놀라유 약간
38026,상추밥,들깨가루 마요네즈 레몬즙 설탕 우유 올리고당 맛간장 검은깨 맛소금 들기름 밥 검은깨 맛소금 참기름 청상추
38027,사과치즈팬케이크,넛츠앤베리스아몬드슬라이스 건애플큐브 핫케이크 믹스 달걀 흰 우유 사과잼 듬뿍 사과 크림치즈 플레인 요거트 꿀 약간 카놀라유 약간 호박씨 조금 시나몬 가루 짤주머니 모양깍지
38028,어묵맛살꼬지전,동그란 어묵 맛살 계란
38029,집코바,닭고기
38030,생연어회,생연어 훈제연어 양파 반 개 무순 케이퍼
38031,오이크래미초밥,밥 오이
38032,자색고구마죽,자색고구마 소금 약간 꿀 약간
38033,얼큰소고기국,소고기 사태 술 대파 양파 무 다시마 황태 표고버섯 기둥 숙주 버섯 배춧잎 대파 다진 마늘
38034,제육핫도그,핫도그빵 돼지고기앞다리살 쪽파 양파 고추장 간장 다진 마늘 맛술 고춧가루 올리고당 소금 약간 후추 약간
38035,청량고추까나리볶음,청량고추 까나리액젓 식용유
38036,톳콩나물초무침,톳 콩나물 당근 대파흰부분 청양고추
38037,새송이버섯제육볶음,돼지목살 새송이버섯 양파 잔파 간마늘 진간장 고추장 고추가루 청주 미림 설탕 후추가루 참기름 들기름
38038,해파리미역초무침,염장 미역 염장 해파리 당근 약간
38039,초코파이볼,초코파이 에이스 계란
38040,파스타치킨,닭 양파 감자 파스타면 양송이버섯 파프리카 조금 미니양배추 레몬
38041,뿌리채소,당근 허브솔트 약간
38042,감귤프렌치토스트,통식빵 달걀 우유 바닐라에센스 버터 감귤 감귤청 슈가파우더 약간 로즈마리
38043,코다리감자고추장조림,코다리 감자 중간크기 대파 고추장 만능 조림 간장 다진 마늘 청주 물엿 참기름
38044,애호박보트,애호박 양파 양송이 버섯 할라피뇨 마늘 소금 약간 드라이 타임 약간 발사믹 비네거 파르메산 치즈 가루 약간 후레쉬 타임 후추 약간
38045,마라룽샤,하오츠마라소스 민물가재 다진마늘 베트남고추 물
38046,김치두부당면찌개,김치 두부 자른당면 돼지고기 양파 팽이버섯
38047,새싹삼,새싹삼 빨간 파프리카 노란파프리카 당근 칠리소스
38048,뼈없는닭발,뼈없는닭발 당근 양파 밀가루 고추가루 설탕 진간장 간마늘 짜장가루 굴소스 케찹 미림 물엿 청양고추가루 참기름 후추 물
38049,고구마빼빼로,넛츠앤베리스촉촉고구마스틱 고구마바삭이 꿀고구마말랭이 한입고구마 다크초콜릿 화이트초콜릿 백년초가루 단호박가루 녹차가루 검은깨 쌀크로칸트 헤이즐넛 스프링클
38050,부추콩나물잡채,당면 콩나물 부추
38051,들깨굴순두부탕,순두부 굴 청양고추
38052,쑥갓두부부침,두부 쑥갓 들기름 밀가루 계란 양조간장 물 참기름 고추가루 통깨 청양고추
38053,단무지국수,오이 단무지 소면
38054,애호박말이전,애호박 양념한소고기 적 파프리카 노랑 파프리카 밀가루 달걀 가는 소금 식용유
38055,연어솥밥,연어 소금 약간 후추 약간 미나리 불린 쌀 물 다시마 청주 식용유
38056,갈비젓갈조림,이베리코 돼지갈비 소주 감자 양파 애호박 무 삶은시래기 썬파 천여조미료해물 육수 갈치속젓 고춧가루 고추장 다진마늘 다진생강 썬파 매실액 맛술
38057,해물감자국,오징어 새우 감자 양파 애호박 버섯 조금 미나리 조금
38058,애호박속프리터,애호박 속 너무 크지 않은 애 호박이나 주키니 다진 양파 다진 파 계란 빵가루 파르메산 치즈 가루 소금 술 후추 약간
38059,매운고추어묵김밥,김 당근 단무지 어묵 청양고추
38060,팥시루떡,쌀가루 팥 단호박 소금 설탕
38061,야관문차,야관문 물
38062,대패숙주볶음,대패삼겹살 숙주나물 마늘 대파 페퍼론치노
38063,얼그레이홍차마들렌,박력분 아몬드 가루 베이킹 파우더 달걀 꿀 바닐라 익스트랙 무염버터 슈가파우더 레몬즙 얼그레이
38064,모짜치즈고구마,고구마 모짜렐라치즈 꿀 맘대로
38065,크리스마스초코케이크,사이즈 사이즈 초코 케이크 시트 달걀 흰자 설탕 소금 실온 무염버터 바닐라 익스트랙 다크 커버춰 초콜릿 장식용 진주 초콜릿 약간 장식용 레드 샤이니볼 약간
38066,돼지김치전,김치 양파 애호박 돼지목살
38067,검은콩바나나두부쉐이크,우유 두부 바나나 삶은 검은콩
38068,곶감말,곶감 호두
38069,굴무솥밥,생굴 무 쌀 썬쪽파 양조간장 고춧가루 다진마늘 다진파 매실액 맛술 참기름
38070,간장새우알밥,간장새우 밥 날치알 양파 마늘
38071,머랭보틀케이크,시판용 카스텔라 생크림 설탕 냉동베리 설탕 레몬즙 옥수수전분 물 달걀흰자 설탕 설탕 물
38072,오징어삼겹살볶음,오징어 몸통 삼겹살 당근 양파
38073,큰멸치고추장볶음,멸치 크게 통깨 참기름
38074,까이팟퐁커리,닭 달걀 버섯 조금 양파 감자 우유
38075,치즈플래터,치즈플래터 딸기 키위 포도 살라미 블루베리 견과류 등
38076,총각무된장지짐이,총각무김치 다시멸치 건새우 청양고추
38077,민트초코키세스쿠키,실온 무염버터 흰설탕 황설탕 실온 달걀 민트 에센스 중력분 무가당 코코아 파우더 블랙 코코아 파우더 생략가능 베이킹 파우더 소금 민트맛 캔디케인 키세스 코팅용 흰설탕 약간 코팅용 빨강 크리스탈 슈가 약간
38078,치즈폭탄떡볶이,쌀떡 사각어묵 대파 양파 당근 계란 피자치즈 체다치즈 진간장 고춧가루 고추장 설탕 케첩 쌀뜨물
38079,옐로우자몽청,메로골드 베이킹소다 흰설탕 레몬즙
38080,매콤우동볶음,우동 알새우 청경채 숙주 대파 마늘 식용유 고추기름 두반장 건고추 화자오 마자오 굴소스 소금 약간 후추 약간 설탕 물 감자전분 물
38081,파프리카치즈전,파프리카 카놀라유 계란 피자치즈 스테비아잎 조금 토마토케첩
38082,머쉬룸볼,양송이 버섯 리코타 치즈 파르메산 치즈 빵가루 올리브유 토마토 크림소스 올리브유 마늘 월계수 잎 드라이드 타임 술 화이트 와인 생크림 소금 약간 파르메산 치즈 후추 약간 토마토 소스
38083,황치즈마블사브레,치즈반죽용 버터 치즈반죽용 슈가파우더 치즈반죽용 계란 치즈반죽용 박력분 황치즈분말 연유반죽용 버터 연유반죽용 슈가파우더 연유 연유반죽용 계란 연유반죽용 박력분 사브레 반죽 위에 바를 물 사브레 반죽 위에 뿌릴 설탕
38084,애플시나몬크럼블머핀,사과 흑설탕 시나몬 파우더 버터 설탕 아몬드 가루 박력분 시나몬 파우더 버터 설탕 소금 약간 달걀 우유 박력분 베이킹파우더 바닐라익스트랙
38085,무청시래기뼈해장국,돼지등뼈 무청 우거지 월계수잎 편생강 사과 대파 청양고추 건 새송이버섯 통후추
38086,계란그물볶음밥,김밥용햄 당근 약간 양파 약간 호박 약간 굴소스 버터 계란 밥
38087,스팸계란간장볶음밥,스팸 계란 양파 밥
38088,견과류슈가떡,식용유 떡국떡 진간장 황설탕 견과류
38089,명이나물삼겹살김밥,밥 당근 삼겹살 오이 단무지 맛살 명이나물 깻잎 상추 햄 계란
38090,찹쌀호떡볼,호떡믹스 초코볼 따뜻한물 식용유 연유
38091,티라미슈,크림치즈 꿀 샤워크림 커피시럽 적당량 시판 카스테라 적당량 코코아파우더 소량 딸기 꿀 레몬즙
38092,계란야채말이,계란 당근 파프리카 파 소금 조금
38093,홍게살김밥,냉동홍게살 단무지 양파 김 밥
38094,매콤닭다리살마요덮밥,닭다리살 청주 달걀 소금 약간 우스터소스 매실액 두반장 케첩 마요네즈 양상추 김가루 약간 식용유
38095,시금치치킨스테이크,닭고기 가슴살 시금치
38096,칵테일새우카나페,칵테일새우 아보카도 치즈 크레커 바질토마토소스 키위 이쑤시개
38097,분홍소세지간장볶음,분홍소세지 대파 조금 올리브유 참기름 통깨
38098,오삼떡볶음,떡국떡 오징어 삼겹살 양파 청양고추 청경채 굴소스 미림 간장 설탕 마늘 고추장 고추가루
38099,계란고추장장조림,계란
38100,시나몬사과조림수플레,설탕 달걀 버터
38101,버섯달걀오븐구이,느타리버섯 표고버섯 양파 피망 베이컨 피자치즈 올리브유 달걀 우유 소금 약간 후추 약간
38102,토마토야채볶음밥,당근 새송이버섯 노랑피망 토마토 밥 달걀
38103,갈비치즈볶음밥,갈비 적당히 볶은 도라지 약간 대파 통마늘 진간장 통깨 식용유 슬라이스치즈 밥
38104,팥떡,찹쌀 맵쌀 팥 설탕 소금
38105,표고버섯무덮밥,무 표고버섯 마늘
38106,굴빈대떡,굴 양배추 대파 소금 밀가루 감자전분 탄산수 농도에맞게
38107,된장배추무침,배추크게
38108,새우젓양념,대파 조금 다진마늘 고춧가루
38109,요플레바,요플레 분유 건크랜베리 건포도 취향것
38110,소고기야채스파게티,물 스파게티면 스파게티 소스 소금 작은숟가락 애호박 양파 당근 소고기 올리브유
38111,흑미밥,흑미 쌀
38112,야채계란후라이전,계란 부추 조금 양배추 조금 양파
38113,우유티케이크,박력분 설탕 계란 소금 생크림 베이킹파우더 녹인버터 팬에 바를 버터
38114,새우나시고랭,양파 대파 식용유 다진 마늘 새우 칠리소스 굴소스 밥 달걀 소금 약간 후춧가루 약간 파슬리가루 약간
38115,찹쌀닭죽,상황 버섯 슬라이스 닭다리살 찹쌀 당근 양파 감자 대파 쪽파 있으면 소금 각자의간 후추 적당량
38116,초콜릿너트케이크,중력분 무가당 코코아 베이킹파우더 설탕 소금 달걀 포도씨유 생크림 우유 바닐라엑스트랙 견과류
38117,찰치즈스틱,대두소프트 중력분 황치즈분말 다진 모짜렐라치즈 파마산치즈가루 버터 계란 식용유 설탕 우유 소금
38118,목살고추장볶음,목살 양파 쪽파 버섯 조금 애호박
38119,느타리버섯야채굴소스볶음,느타리버섯 청경채 양파 당근 양배추 파 청양고추 굴소스 깨 조금
38120,배추속겉절이무침,배추속 오이 케일 양파 송송썬 대파 고춧가루 통깨 액젓 설탕 소금 다진마늘 식초 매실청
38121,아보카도에그샌드위치,아보카도 삶은계란 방울토마토 양파
38122,브루키,쿠키용 버터 쿠키용 설탕 쿠키용 소금 쿠키용 계란 강력분 쿠키용 박력분 쿠키용 베이킹파우더 초코칩 바닐라오일 다크커버춰 브라우니용 버터 브라우니용 박력분 브라우니용 설탕 브라우니용 계란 코코아가루 브라우니용 베이킹파우더
38123,허니진저마들렌,달걀 흑설탕 꿀 바닐라 익스트랙 소금 박력분 베이킹파우더 생강가루 계피가루 무염버터
38124,에그쉬림프샌드위치,식빵 계란 새우 얼그레이 밀크잼 상추 식용유 우유 소금 후춧가루 페퍼론치노 가루 파슬리 가루
38125,눈사람호빵,호빵 초코펜
38126,마시멜로우스모어딥,마시멜로우 초콜릿 아몬드슬라이스 비스킷
38127,사과채소말이,사과 빨강파프리카 노랑파프리카 당근 오리훈제 머스터드소스 약간
38128,유부주머니찌개,유부 주머니 소고기 수육 만두 두부 모 무 콩나물 청양고추 육수 새우젓 소금 간장 와사비
38129,굴감바스,굴 바게트빵 올리브유 마늘 월계수잎 천일염 식초 송이버섯 방울토마토 버터 꽃소금 후추 페페론치노 약간
38130,황태콩나물라면,다시마 라면 황태 크게 콩나물 크게 달걀 청양고추 대파
38131,꽈리고추닭볶음탕,닭 꽈리고추 통마늘 홍고추 대파
38132,닭안심살카레라이스,닭안심살 당근 새송이버섯 양파 삶은 달걀
38133,배추나물된장무침,배춧잎 된장 다진마늘 참기름 깨
38134,명태껍질튀김,북어껍질 쪽파 홍고추 청양고추 마늘
38135,에그드랍미스터에그,미니밤식빵 달걀 우유 종이컵 무염버터
38136,문어대가리조림,문어
38137,간장떡강정,떡국떡 간장 꿀
38138,로투스쿠키,실온 무염버터 흑설탕 흰설탕 실온 달걀 바닐라 익스트랙 소금 중력분 시나몬 가루 옥수수 전분 베이킹 소다 로투스 로투스 스프레드
38139,해산물크림스파게티,스파게티면 해산물모듬 코스트코 캠벨 청키 크램차우더 스프 마늘 올리브유 버터 소금 약간 후추 약간
38140,차돌박이오일파스타,참소스 마늘슬라이스 치킨육수 또는 정수물 건고추 파스타면 소금 조금 후추 조금 차돌박이 영양부추 쪽파
38141,크림수프,우유 물 생크림 체다치즈 맛소금 버터 밀가루 식빵 후춧가루 파슬리
38142,사과자몽청,자몽 사과 설탕
38143,배추갈비탕,소목뼈 소주 통후추 마늘 파뿌리 배추
38144,크리스마스리스쿠키,버터 슈가파우더 달걀 흰자 박력분 코팅용 초콜릿 적당량 스프링클 적당량
38145,후르츠베이글오픈샌드위치,골드키위 딸기 블루베리 귤 베이글 리코타치즈 약간 바질페스토 약간 발사믹소스 약간 타임 로즈마리
38146,돼지안심꽈리고추조림,돼지고기 꽈리고추 양파 대파 마늘 생강
38147,과메기양념볶음,과메기 청양고추 마늘
38148,멜팅치즈,캘리포니아 치즈 적당량 스테이크용 고기 적당량 구운 감자 적당량 새우 관자 채소 바게트
38149,흑미떡국떡떡볶이,대파 적당량
38150,초코트리,오트밀 다크초콜릿 우유 전자렌지용기
38151,블루베리바나나두유,블루베리 바나나 무첨가국산 두유
38152,고구마채소진밥,처음요리 고구마채소진밥 밀키트 물
38153,연유베이컨길거리토스트,개 양배추 치즈 설탕 또는 연유 버터 케챱 마요네즈 계란
38154,몽골리안스테이크,소고기 브로콜리 방울토마토 버터 올리브유 소금 후추 케첩 굴소스 다진마늘 정종 설탕 우스타소스 간장 물 전분
38155,누텔라호두쿠키,스쿱 분량 무염버터 누텔라 마스코바도 달걀 스페인 통밀 탈지분유 베이킹소다 소금 구운 호두와 아몬드 세미스윗 초코칩
38156,키위양파드레싱,키위 양파 올리고당 식초 아보카도오일 설탕
38157,도토리묵떡국떡무침,떡국떡 도토리묵 다진대파
38158,에그드랍토스트,통식빵 치즈 스리라차마요 버터오일 조금 연유 조금 파슬리가루 조금 달걀 연유 우유 소금 설탕 스리라차 소스 마요네즈
38159,명란계란덮밥,밥 계란 명란젓 적당량 김가루 조금
38160,비프함박스테이크,다진소고기 청주 맛술 맛소금 후추 마늘 슬라이스치즈 계란 계란물 우유 빵가루 파슬리가루
38161,당근후무스,병아리콩 당근 올리브유 죽염 마늘 레몬즙 참깨 올리브유
38162,발사믹자색양파소스,자색양파 발사믹식초 레몬 죽염 올리브유 알룰로스
38163,딸기잼크림치즈파이,식빵 계란 딸기잼 크림치즈
38164,순두부고구마죽,처음요리 순두부고구마죽 밀키트 물
38165,소고기무들깨탕,소고기 무
38166,황태간장닭볶음탕,닭 황태 당근 대파 양파 청양고추
38167,소고기홍합채소볶음,파인애플 소고기 익힌 홍합 미니빨강파프리카 노랑 파프리카 브로콜리 편썬 마늘 버터 잔파 소금 약간
38168,오리훈제계란부침,오리훈제 계란 파슬리가루 약간
38169,배추생선찜,배추 실파 반건조 생선 간장 약간
38170,생크림딸기산타,가래떡 설탕 시나몬가루 떡국떡 설탕 약간 과일 약간
38171,단호박술빵,생 막걸리 밀가루 설탕 꽃소금 계란 단호박 캔옥수수
38172,영양부추트리밥,부추 겉절이 당근 계란 소금 적당량 참기름 통깨 적당량 밥
38173,살몬부르스케타,훈제 연어 채썬 자색 양파 레몬즙 소금 약간 크림치즈 얇게 채 썬 비트 페퍼 콘 또는 케이퍼 후추 약간
38174,크루통감자스프,삶은감자 우유 양파 식빵 물
38175,애플시나몬머핀,사과 설탕 레몬슬라이스 시나몬파우더 약간 박력분 설탕 시나몬파우더 무염버터 무염버터 설탕 소금 달걀 사워크림 박력분 통밀가루 베이킹파우더 사과조림 그래놀라 약간 설탕 약간
38176,산타모자롤케이크,노른자 설탕 우유 포도씨유 박력분 흰자 설탕 홉라 생크림 설탕 싱싱한 딸기 데코용 슈가파우더 소량
38177,백향과차,백향과퓨레
38178,현미라이스페이퍼야채찜,현미라이스페이퍼 국산 두부 친환경 표고버섯 친환경 빨강파프리카 친환경 노랑파프리카 유기농 당근 작은것 유정란 국산감자전분가루 찹쌀가루 죽염
38179,가지크루스타드,분량 가지 올리브유 크러쉬드 토마토 다진 마늘 드라이드 바질 술 슈레드 모짜렐라 또띠아 크루스타드 채썬 생 바질 약간
38180,애호박새우오븐찜,애호박 새우 양배추나 짜투리야채 적당량 국산감자전분가루 죽염 약간 후추 약간
38181,소고기알배추볶음,한우 마늘 다진마늘 양파 표고버섯 알배추 양념 쪽파 참기름
38182,들깨브로콜리버섯볶음,브로콜리 표고버섯 팽이버섯 파프리카 각각
38183,스팸떡볶이,스팸 취향껏
38184,굴한입배추전,굴 배추 청양고추 홍고추 소금 약간 달걀 부침가루 식용유 약간
38185,해초김밥,김 해초 울외 장아찌 당근 계란 햄 설탕 소금 식초 연겨자 식초 올리고당 간장 통깨
38186,자색무말랭이,자색 무 작은크기 식품건조기
38187,통마늘견과류오븐구이,마늘 견과류 올리브유 조금 죽염 조금 향신료 조금
38188,겨울냉이강된장,냉이 멸치 물 된장 고추장 다진마늘
38189,생삼치구이,생 삼치
38190,들깨샐러드소스,국산들깨가루 올리브유 알룰로스 레몬즙
38191,통밀두부브라우니,통밀가루 써니브레드멀티믹스 카카오가루 베이킹파우더 두부 죽염 견과류 알룰로스 현미유 두유 바닐라스테비아
38192,베이컨하와이안피자,강력분 이스트 소금 설탕 올리브유 따뜻한 물 피자치즈 파인애플 베이컨 옥수수콘 양파 피자소스
38193,비건마요네즈,단호박 캐슈넛 두유 레몬즙 알룰로스 죽염 아보카도 캐슈넛 두유 레몬즙 알룰로스 죽염 캐슈넛 두유 레몬즙 알룰로스 죽염
38194,현미누룽지계란죽,현미누룽지 계란 대파잎 아주조금 물
38195,파프리카새우볶음밥,양파 새우 파프리카 밥
38196,김무침비빔밥,김 쪽파 소금 진간장 멸치액젓 참기름 설탕 깨소금 팍팍팍
38197,돼지고기부추볶음덮밥,돼지고기 채 부추 대파 식용유 황설탕 진간장 국간장 굴소스 다진마늘 노두유 참기름 통깨 약간
38198,매운순대볶음,순대 양파 대파 양배추 통깨 청양고추 깻잎 식용유 고추장 식초 진간장 생강즙 후춧가루 약간 고춧가루 설탕 다진마늘 들기름 들깻가루
38199,매콤참치덮밥,밥 양배추 참치 대파 양파 달걀노른자 통깨 약간 참기름 약간 고춧가루 고추장 올리고당 간장 후추 약간
38200,무채볶음,채썬 무 새우젓 물 다진마늘 참기름 갈은깨
38201,단호박요거트피자,또띠아 단호박 플레인 요플렛 꿀
38202,쉬림프펜네로제파스타,시판로제소스 양파 통마늘 칵테일새우 우유 슬라이스치즈
38203,반숙계란,계란 소금 식초 물
38204,곱창파스타,파스타면 곱창 양파 파프리카 조금 부추 조금 대파 조금
38205,만능소고기볶음,간소고기 간장 맛술 사과즙 다진 파 흰부분 다진마늘 다진생강 설탕 후추 약간
38206,돼지목살간장양념구이,돼지목살 설탕 간장 물엿 다진마늘 생강가루 맛술 굴소스 후추가루 약간 다진대파 물
38207,우렁쌈장쌈밥,우렁이살 애호박 두부 양파 대파 표고버섯 고추가루 소금 들기름 된장
38208,키조개피자,키조개 소고기 양파 꼬마새송이 버섯 적 피망 후추 톡톡 가는 소금 토마토 소스 피자치즈 파슬리가루
38209,가래떡미트스파게티,통마늘 베이컨 가래떡 올리브유 적당량 소금 약간 후춧가루 약간 미트스파게티
38210,가래떡어묵꼬치모듬탕,어묵세트 가래떡 약간 대파 무 청양고추 다시마 멸치육수 넉넉히 후춧가루 약간 국간장 꼬치 여러개
38211,대게,대게 물
38212,수비드닭가슴살,닭고기
38213,꿀고구마,호박고구마 에어프라이기에넣어질만큼
38214,떡볶이참치볶음밥,밥 고추참치 떡볶이 원하시는대로 불닭소스 옥수수캔 취향껏
38215,칠리깐쇼새우,냉동새우 튀김가루 감자전분 물 기름 새우 마늘 대파 스위트콘 두반장 설탕 케찹 굴소스 식초 물
38216,국물깍두기,소주 중간 고추가루 찬밥 쪽파
38217,버터치즈토스트,버터 설탕 모짜렐라 치즈 듬뿍 빵
38218,아귀탕지리,무 파 미나리 콩나물 참치액젓 아귀
38219,소세지두부덮밥,두부 소세지 양파 달걀
38220,참치두부덮밥,두부 모 참치 양파 당근 약간 다진마늘
38221,계란사과샐러드,사과 양파 계란 샌드위치 햄
38222,우삼겹초밥,소고기 우삼겹 밥 조미김 들기름 날치알 가는 소금 머스터드 소스 명란젓 약간 쪽파 잎부분 약간
38223,트러플오일짜파게티,청양고추
38224,버터멸치볶음밥,잔멸치 밥 마늘 애호박 조금 당근 조금 가는 대파 오일 버터 간장 굴소스 후추
38225,한우단호박양파죽,처음요리 한우 단호박 양파죽 밀키트 물
38226,연어채소진밥,처음요리 연어채소진밥 밀키트 물
38227,통밀또띠아피자,토마토 양파 간마늘 죽염 알룰로스 올리브유 조금
38228,강황두부동그랑땡,재료 동그랑땡 두부 표고버섯 애호박 당근 빨강파프리카 죽염 강황 유정란 국산 감자전분 적당량 노랑파프리카
38229,파래동그랑땡,파래 어린이주먹만한뭉치 돼지고기 다짐육 청피망 조금 빨강파프리카 조금 당근 조금 두부 계란 부침가루 크게
38230,단호박견과류오븐구이,미니단호박 견과류 적당량 아가베시럽
38231,마늘버터전복구이,전복 양파 당근 다진마늘 버터 후추 소금
38232,두부면,두부면 깻잎 오이맛고추 다진마늘 굴소스 설탕 식초 약간 식용유 고춧가루
38233,치토스핫도그,밀가루 드라이이스트 설탕 소금 따뜻한 물 따뜻한 우유 치토스 파프리카가루 밀가루 약간 소시지 스트링치즈 식용유 적당량
38234,매콤숙주나물볶음,숙주 다진마늘
38235,홍삼커피,핸드드립 커피 홍삼액기스
38236,마른멸치장아찌,마른멸치
38237,오렌지석류샐러드,오렌지 석류 쌈잎 채소 약간 오렌지즙 식초 아가베시럽 올리브유 소금 약간
38238,두부스프레드,두부 캐슈넛 컵 샐러리 식초 올리브유 설탕 소금
38239,비트스프레드,비트 레몬 설탕
38240,해물빠삐요뜨,연어 가리비 백합 바지락 새우 레몬 양파 바지락 새우 등 레몬 양파 버터 화이트 와인 올리브유 소금 후추 허브 약간씩
38241,안심롤스테이크,안심 베이컨 소금 약간 후추 약간 올리브유 약간 버터 양파 양송이버섯 돈가스소스 토마토소스 우스터소스 다진마늘 물 삶은 달걀 다진돼지고기 다진대파 파마산치즈가루 후추 약간 마요네즈 적당량 쪽파 약간 케찹 돈가스소스
38242,소고기말이주먹밥,소고기 깻잎 당근 대파 식용유 소금 약간 밥 통깨 간장 설탕 참기름 간마늘 후춧가루 약간
38243,모짜렐라치즈계란찜,두부 달걀 모짜렐라 치즈 적당량
38244,버섯열매마국,멸치다시마육수 표고버섯 두부 열매마 국간장 다진마늘 새우젓 대파
38245,글뤼와인,저가형 레드와인 통계피 정향 팔각 사과 오렌지 한국 배 설탕
38246,비고스,양배추 통 소금 적당히 월계수 베이컨 양파 개 미트볼 돼지고기 소고기 원하는만큼 양송이버섯 소세지 포도주 토마토퓨레 후추 살짝
38247,무대파조림,무 멸치또는솔치 대파 마늘 생수
38248,마라쿵파오치킨,닭다리살 땅콩 피망 감자전분 소금 후추 식용유 약간 참기름 약간 베트남고추 샐러리 다진마늘
38249,해물카레볶음밥,대파 작은양파 냉동해물믹스 밥 달걀
38250,머쉬룸스프,양송이버섯 양파 우유 생크림 체다치즈 파마산치즈가루 밀가루 가염버터 식빵 파슬리 후춧가루
38251,감자치즈칩스,감자 양파 조금 슬라이스 치즈
